Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Kids,tvui,browseTitles,,,2024-02-08 16:55:37
Kids,tvui,browseTitles,,,2024-02-08 16:55:36
Kids,tvui,browseTitles,,,2024-02-08 16:55:29
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-08 16:55:29
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-08 16:55:28
Kids,tvui,profilesGate,,,2024-02-08 16:55:28
Kids,tvui,profilesGate,,,2024-02-08 16:55:27
Kids,tvui,profilesGate,,,2024-02-08 16:55:09
Kids,tvui,movieDetails,,,2024-02-07 20:00:35
Kids,tvui,profilesGate,,,2024-02-07 20:00:35
Kids,tvui,episodesSelector,,,2024-02-07 19:30:35
Kids,tvui,movieDetails,,,2024-02-07 19:30:35
Kids,tvui,movieDetails,,,2024-02-07 19:30:13
Kids,tvui,episodesSelector,,,2024-02-07 19:30:13
Kids,tvui,search,,,2024-02-07 19:30:01
Kids,tvui,movieDetails,,,2024-02-07 19:30:01
Kids,tvui,movieDetails,,,2024-02-07 19:29:56
Kids,tvui,search,,,2024-02-07 19:29:56
Kids,tvui,search,,,2024-02-07 19:29:49
Kids,tvui,movieDetails,,,2024-02-07 19:29:49
Kids,tvui,search,,,2024-02-07 19:29:20
Kids,tvui,movieDetails,,,2024-02-07 19:29:20
Kids,tvui,playback,,,2024-02-07 19:29:19
Kids,tvui,movieDetails,,,2024-02-07 19:29:19
Kids,tvui,movieDetails,,,2024-02-07 19:07:20
Kids,tvui,playback,,,2024-02-07 19:07:20
Kids,tvui,playback,,,2024-02-07 19:07:04
Kids,tvui,movieDetails,,,2024-02-07 19:07:04
Kids,tvui,movieDetails,,,2024-02-07 18:46:59
Kids,tvui,playback,,,2024-02-07 18:46:59
Kids,tvui,playback,,,2024-02-07 18:46:56
Kids,tvui,movieDetails,,,2024-02-07 18:46:56
Kids,tvui,movieDetails,,,2024-02-07 18:41:06
Kids,tvui,playback,,,2024-02-07 18:41:06
Kids,tvui,playback,,,2024-02-07 18:40:56
Kids,tvui,postPlay,,,2024-02-07 18:40:56
Kids,tvui,postPlay,,,2024-02-07 18:40:56
Kids,tvui,movieDetails,,,2024-02-07 18:40:56
Kids,tvui,playback,,,2024-02-07 18:32:45
Kids,tvui,movieDetails,,,2024-02-07 18:32:45
Kids,tvui,playback,,,2024-02-07 18:32:39
Kids,tvui,movieDetails,,,2024-02-07 18:32:39
Kids,tvui,playback,,,2024-02-07 17:44:03
Kids,tvui,movieDetails,,,2024-02-07 17:44:03
Kids,tvui,search,,,2024-02-07 17:43:54
Kids,tvui,movieDetails,,,2024-02-07 17:43:54
Kids,tvui,browseTitles,,,2024-02-07 17:43:45
Kids,tvui,search,,,2024-02-07 17:43:45
Kids,tvui,movieDetails,,,2024-02-07 17:42:34
Kids,tvui,browseTitles,,,2024-02-07 17:42:34
Kids,tvui,browseTitles,,,2024-02-07 17:42:24
Kids,tvui,movieDetails,,,2024-02-07 17:42:24
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-07 17:42:10
Kids,tvui,browseTitles,,,2024-02-07 17:42:10
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-07 17:42:09
Kids,tvui,profilesGate,,,2024-02-07 17:42:09
Kids,tvui,profilesGate,,,2024-02-07 17:42:06
Kids,tvui,profilesGate,,,2024-02-07 17:41:53
Kids,tvui,profilesGate,,,2024-02-06 18:50:15
Kids,tvui,browseTitles,,,2024-02-04 19:16:04
Kids,tvui,profilesGate,,,2024-02-04 19:16:04
Kids,tvui,movieDetails,,,2024-02-04 18:45:50
Kids,tvui,movieDetails,,,2024-02-04 18:45:50
Kids,tvui,browseTitles,,,2024-02-04 18:45:50
Kids,tvui,profilesGate,,,2024-02-04 18:45:49
Kids,tvui,movieDetails,,,2024-02-04 18:45:49
Kids,tvui,profilesGate,,,2024-02-04 17:12:49
Kids,tvui,browseTitles,,,2024-02-03 18:54:39
Kids,tvui,profilesGate,,,2024-02-03 18:54:39
Kids,tvui,movieDetails,,,2024-02-03 18:24:39
Kids,tvui,browseTitles,,,2024-02-03 18:24:39
Kids,tvui,playback,,,2024-02-03 18:24:37
Kids,tvui,movieDetails,,,2024-02-03 18:24:37
Kids,tvui,movieDetails,,,2024-02-03 18:24:29
Kids,tvui,playback,,,2024-02-03 18:24:29
Kids,tvui,browseTitles,,,2024-02-03 18:24:27
Kids,tvui,movieDetails,,,2024-02-03 18:24:27
Kids,tvui,movieDetails,,,2024-02-03 18:24:21
Kids,tvui,browseTitles,,,2024-02-03 18:24:21
Kids,tvui,playback,,,2024-02-03 18:24:20
Kids,tvui,movieDetails,,,2024-02-03 18:24:20
Kids,tvui,movieDetails,,,2024-02-03 18:23:31
Kids,tvui,playback,,,2024-02-03 18:23:31
Kids,tvui,browseTitles,,,2024-02-03 18:23:28
Kids,tvui,movieDetails,,,2024-02-03 18:23:28
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-03 18:23:08
Kids,tvui,browseTitles,,,2024-02-03 18:23:08
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-03 18:23:06
Kids,tvui,profilesGate,,,2024-02-03 18:23:06
Kids,tvui,profilesGate,,,2024-02-03 18:23:05
Kids,tvui,profilesGate,,,2024-02-03 18:18:25
Kids,tvui,profilesGate,,,2024-02-01 16:45:58
Kids,tvui,profilesGate,,,2024-01-27 19:37:45
Kids,tvui,browseTitles,,,2024-01-27 13:20:23
Kids,tvui,profilesGate,,,2024-01-27 13:20:23
Kids,tvui,profilesGate,,,2024-01-27 12:50:23
Kids,tvui,profileSelectionTransitionAnimation,,,2024-01-27 12:50:23
Kids,tvui,profileSelectionTransitionAnimation,,,2024-01-27 12:50:23
Kids,tvui,browseTitles,,,2024-01-27 12:50:23
Kids,tvui,search,,,2024-01-22 20:59:16
Kids,tvui,profilesGate,,,2024-01-22 20:59:16
Kids,tvui,browseTitles,,,2024-01-22 20:58:56
Kids,tvui,search,,,2024-01-22 20:58:56
Kids,tvui,browseTitles,,,2024-01-22 20:58:41
Kids,tvui,browseTitlesGallery,,,2024-01-22 20:58:41
Kids,tvui,browseTitles,,,2024-01-22 20:58:36
Kids,tvui,browseTitlesGallery,,,2024-01-22 20:58:36
Kids,tvui,profileSelectionTransitionAnimation,,,2024-01-22 20:57:51
Kids,tvui,browseTitles,,,2024-01-22 20:57:51
Kids,tvui,profilesGate,,,2024-01-22 20:57:49
Kids,tvui,profileSelectionTransitionAnimation,,,2024-01-22 20:57:49
Kids,tvui,profilesGate,,,2024-01-22 20:57:38
Kids,tvui,profilesGate,,,2024-01-15 18:17:24
Kids,tvui,profilesGate,,,2024-01-15 16:43:33
Kids,tvui,profilesGate,,,2024-01-14 19:07:13
Kids,tvui,profilesGate,,,2024-01-14 12:49:55
Kids,tvui,profilesGate,,,2024-01-14 10:41:12
Kids,tvui,browseTitles,,,2024-01-14 10:41:12
Kids,tvui,browseTitles,,,2024-01-14 09:59:44
Kids,tvui,profileSelectionTransitionAnimation,,,2024-01-14 09:59:44
Kids,tvui,profilesGate,,,2024-01-14 09:59:42
Kids,tvui,profileSelectionTransitionAnimation,,,2024-01-14 09:59:42
Kids,tvui,profilesGate,,,2024-01-14 09:59:06
Kids,tvui,profilesGate,,,2024-01-13 15:06:23
Kids,tvui,profilesGate,,,2024-01-11 16:47:18
Kids,tvui,browseTitles,,,2024-01-10 18:40:01
Kids,tvui,profilesGate,,,2024-01-10 18:40:01
Kids,tvui,browseTitles,,,2024-01-10 18:09:55
Kids,tvui,profileSelectionTransitionAnimation,,,2024-01-10 18:09:55
Kids,tvui,profilesGate,,,2024-01-10 18:09:54
