Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Evis,AL,Android Phone,0,girl in ,Girl in the Picture,add,title_results,2023-05-02 13:58:32
Evis,AL,Android Phone,0,girl in ,Girl in the Picture,select,title_results,2023-05-02 13:58:28
Evis,AL,Android Phone,0,the good nur,The Good Nurse,add,title_results,2023-04-30 13:02:25
Evis,AL,Android Phone,0,the good nur,The Good Nurse,select,title_results,2023-04-30 13:02:16
Evis,AL,HTML 5,0,beef,"BEEF: Season 1: ""I Am a Cage""",play,,2023-04-24 19:14:15
Evis,AL,HTML 5,0,beef,"BEEF: Season 1: ""The Birds Don't Sing, They Screech in Pain""",play,title_results,2023-04-18 14:19:39
Evis,AL,Android Phone,0,hung,Hunger,select,title_results,2023-04-15 13:32:28
Evis,AL,HTML 5,0,the blacklist,"The Blacklist: Season 1: ""Pilot""",play,title_results,2023-04-03 18:49:04
Evis,AL,HTML 5,0,blacklist,,play,title_results,2023-04-03 18:31:42
Evis,AL,HTML 5,0,the blacklist,"The Blacklist: Season 10: ""The Night Owl""",play,title_results,2023-03-28 20:09:50
Evis,AL,HTML 5,0,the blacklist,"The Blacklist: Season 10: ""The Night Owl""",play,,2023-03-28 19:44:29
Evis,AL,HTML 5,0,the blacklist,"The Blacklist: Season 10: ""The Night Owl""",play,,2023-03-28 18:33:16
Evis,AL,HTML 5,0,love hard,Love Hard,add,title_results,2023-03-26 19:55:57
Evis,AL,Smart TV,0,,,play,prequery_results,2023-03-16 20:15:40
Evis,AL,Smart TV,0,,,select,prequery_results,2023-03-16 20:13:36
Evis,AL,Smart TV,0,,,play,prequery_results,2023-03-13 20:37:39
Evis,AL,Smart TV,0,,,select,prequery_results,2023-03-13 20:37:35
Evis,AL,Smart TV,0,,,play,prequery_results,2023-03-10 20:39:22
Evis,AL,Smart TV,0,,,select,prequery_results,2023-03-10 20:39:17
Evis,AL,Smart TV,0,,,play,prequery_results,2023-03-09 21:59:55
Evis,AL,Smart TV,0,,,select,prequery_results,2023-03-09 21:59:51
Evis,AL,Smart TV,0,,,play,prequery_results,2023-03-03 20:26:44
Evis,AL,Smart TV,0,,,select,prequery_results,2023-03-03 20:26:41
Evis,AL,Smart TV,0,,,play,prequery_results,2023-02-13 20:44:25
Evis,AL,Smart TV,0,,,select,prequery_results,2023-02-13 20:44:22
