Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFCDCH-02-K8PN8V3HK6YJJMX9FKTGJEMDPERNKG,chrome-cadmium,chrome-cadmium,188.172.108.120,AL,Tirane,TIRANA,2023-06-15 18:15:21
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,188.172.110.80,AL,Durres,HASAN,2023-07-18 19:05:42
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,188.172.110.155,AL,Durres,FUSHE KRUJE,2023-07-25 18:33:51
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,188.172.110.136,AL,Tirane,TIRANA,2023-06-22 19:24:33
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,188.172.108.144,AL,Tirane,VORE,2023-06-26 18:50:35
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,188.172.108.12,AL,Vlore,SARANDE,2023-06-20 18:38:30
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,188.172.108.183,AL,Durres,FUSHE KRUJE,2023-06-21 14:28:19
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,188.172.110.233,AL,Tirane,TIRANA,2023-07-17 17:53:27
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,188.172.108.21,AL,Tirane,TIRANA,2023-08-05 11:31:49
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,46.252.39.163,AL,Tirane,TIRANA,2023-08-21 13:54:26
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,188.172.109.71,AL,Elbasan,QUKES-SHKUMBIN,2023-06-29 19:37:12
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,91.132.173.46,AL,Berat,BERAT,2023-07-22 10:13:00
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,95.107.169.20,AL,Tirane,PASKUQAN,2023-07-03 19:05:00
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,188.172.110.155,AL,Durres,RRASHBULL,2023-07-24 18:36:43
NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,chrome-cadmium,chrome-cadmium,95.107.169.20,AL,Tirane,TIRANA,2023-07-05 17:55:39
