Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Evis,NFCDCH-02-K557U6WFDA66PJX5NR7UDJLERL2283,Chrome PC (Cadmium),2023-05-03T17:52:35.392,2023-06-13T21:21:04.945,2023-05-03T17:52:35.392,2023-06-13T21:21:04.945,2023-05-03T17:52:35.392,2023-06-13T21:21:04.945,2023-05-03T17:52:35.392,2023-06-13T21:21:04.945,1970-01-01T00:00:00.000
Evis,NFCDCH-02-K554UCVUY12Y1F9C5PTLLDQ172FRC7,Chrome PC (Cadmium),2023-05-03T17:01:21.056,2023-05-03T17:04:15.664,2023-05-03T17:04:15.664,2023-05-03T17:04:15.664,2023-05-03T17:01:21.056,2023-05-03T17:04:15.664,2023-05-03T17:04:15.664,2023-05-03T17:04:15.664,1970-01-01T00:00:00.000
Evis,NFCDCH-02-K3VCMDEP3W967TF2T03PEQPY6GDTN4,Chrome PC (Cadmium),2023-04-17T20:39:55.724,2023-05-01T13:57:08.945,2023-04-18T14:19:39.684,2023-05-01T13:57:08.945,2023-04-17T20:39:55.724,2023-05-01T13:57:08.945,2023-04-18T14:19:39.684,2023-05-01T13:57:08.945,1970-01-01T00:00:00.000
Evis,NFCDCH-02-K3CAVEVE5DRHJ9YTND1F07CCYDD3G8,Chrome PC (Cadmium),2023-04-11T18:49:35.180,2023-04-14T17:34:42.099,2023-04-14T17:34:42.099,2023-04-14T17:34:42.099,2023-04-11T18:49:35.180,2023-04-14T17:34:42.099,2023-04-14T17:34:42.099,2023-04-14T17:34:42.099,1970-01-01T00:00:00.000
Evis,NFCDCH-02-K2VGKGRC152UHGQ5JCA16T6773W70K,Chrome PC (Cadmium),2023-04-05T18:31:01.396,2023-04-11T16:53:58.449,2023-04-05T18:31:20.388,2023-04-11T16:53:58.449,2023-04-05T18:31:01.396,2023-04-11T16:53:58.449,2023-04-05T18:31:20.388,2023-04-11T16:53:58.449,1970-01-01T00:00:00.000
Evis,NFCDCH-02-JQZPWJCAFDY8H3DYAT0T970VF6EMGD,Chrome PC (Cadmium),2022-11-24T21:01:17.440,2023-04-03T19:24:18.593,2022-11-24T21:01:38.496,2023-04-03T19:24:18.593,2022-11-24T21:01:17.440,2023-04-03T19:24:18.593,2022-11-24T21:01:38.496,2023-04-03T19:24:18.593,1970-01-01T00:00:00.000
Evis,NFAPPL-02-IPHONE10=3-52D682CADDA4D4197C0217C85F2B577B7D137E31F77F7835336CDB9C1BE55651,Apple iPhone X (CDMA),2022-12-30T13:26:09.012,2023-03-17T19:34:20.184,2023-01-15T13:45:04.147,2023-01-18T20:25:23.387,2022-12-30T13:26:09.012,2023-03-17T19:34:20.184,2023-01-15T13:45:04.147,2023-01-18T20:25:23.387,1970-01-01T00:00:00.000
Evis,NFCDSF-PH-JUXTLC3XK9DPXAXLE756C9P6WEC27X,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Evis,WWW-BROWSE-JUXTKL0PGDCEVXKWGC8D2HHT40U6HF,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,1970-01-01T00:00:00.000
Evis,NFAPPL-02-IPHONE10=2-52D682CADDA4D4197C0217C85F2B577B7D137E31F77F7835336CDB9C1BE55651,Apple iPhone 8 Plus (CDMA),2021-07-23T09:19:01.033,2022-12-29T16:03:34.137,2022-04-02T16:46:03.702,2022-10-27T16:55:30.910,2021-07-23T09:19:01.033,2022-12-29T16:03:34.137,2022-04-02T16:46:03.702,2022-10-27T16:55:30.910,1970-01-01T00:00:00.000
